date,total_views,unique_views
2022-08-17,6,2
2022-08-18,0,0
2022-08-19,1,1
2022-08-20,0,0
2022-08-21,2,1
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,18,1
2022-08-26,6,1
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,4,2
2022-08-30,40,3
2022-08-31,8,2
2022-09-01,104,8
2022-09-02,144,9
2022-09-03,2,1
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,15,1
2022-09-07,24,4
2022-09-08,32,5
2022-09-09,10,3
2022-09-10,37,6
2022-09-11,17,4
2022-09-12,3,1
2022-09-13,2,1
2022-09-14,1,1
2022-09-15,3,2
2022-09-16,47,4
2022-09-17,24,3
2022-09-18,0,0
2022-09-19,7,3
2022-09-20,0,0
2022-09-21,0,0
2022-09-22,7,2
2022-09-23,3,1
2022-09-24,14,1
2022-09-25,0,0
2022-09-26,1,1
2022-09-27,6,2
2022-09-28,11,3
2022-09-29,9,2
2022-09-30,2,1
2022-10-01,5,1
2022-10-02,4,2
2022-10-03,2,1
2022-10-04,9,1
2022-10-05,0,0
2022-10-06,3,1
2022-10-07,0,0
2022-10-08,1,1
2022-10-09,1,1
2022-10-10,2,1
2022-10-11,5,1
2022-10-12,3,2
2022-10-13,17,2
2022-10-14,0,0
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,0,0
2022-10-18,0,0
2022-10-19,8,1
2022-10-20,4,1
2022-10-21,1,1
2022-10-22,5,2
2022-10-23,0,0
2022-10-24,0,0
2022-10-25,4,2
2022-10-26,1,1
2022-10-27,3,1
2022-10-28,0,0
2022-10-29,1,1
2022-10-30,1,1
2022-10-31,0,0
2022-11-01,0,0
2022-11-02,2,1
2022-11-03,2,2
2022-11-04,1,1
2022-11-05,1,1
2022-11-06,9,1
2022-11-07,15,4
2022-11-08,6,4
2022-11-09,3,1
2022-11-10,6,1
2022-11-11,0,0
2022-11-12,0,0
2022-11-13,0,0
2022-11-14,0,0
2022-11-15,0,0
2022-11-16,0,0
2022-11-17,1,1
2022-11-18,0,0
2022-11-19,1,1
2022-11-20,0,0
2022-11-21,0,0
2022-11-22,1,1
2022-11-23,4,1
2022-11-24,0,0
2022-11-25,0,0
2022-11-26,0,0
2022-11-27,1,1
2022-11-28,0,0
2022-11-29,4,2
2022-11-30,0,0
2022-12-01,0,0
2022-12-02,0,0
2022-12-03,0,0
2022-12-04,0,0
2022-12-05,1,1
2022-12-06,2,1
2022-12-07,1,1
2022-12-08,0,0
2022-12-09,0,0
2022-12-10,0,0
2022-12-11,0,0
2022-12-12,0,0
2022-12-13,12,2
2022-12-14,29,5
2022-12-15,2,1
2022-12-16,1,1
2022-12-17,0,0
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,0,0
2022-12-27,0,0
2022-12-28,0,0
2022-12-29,0,0
2022-12-30,0,0
2022-12-31,0,0
2023-01-01,14,1
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,4,1
